"Saint Helena","Saint Helena","290","Africa","Jamestown","SHP","en"
"Slovenia","Slovenija","386","Europe","Ljubljana","EUR","sl"
"Svalbard and Jan Mayen","Svalbard og Jan Mayen","4779","Europe","Longyearbyen","NOK","no"
"Slovakia","Slovensko","421","Europe","Bratislava","EUR","sk"
"Sierra Leone","Sierra Leone","232","Africa","Freetown","SLL","en"
"San Marino","San Marino","378","Europe","City of San Marino","EUR","it"
"Senegal","Sénégal","221","Africa","Dakar","XOF","fr"
"Somalia","Soomaaliya","252","Africa","Mogadishu","SOS","so,ar"
"Suriname","Suriname","597","South America","Paramaribo","SRD","nl"
"South Sudan","South Sudan","211","Africa","Juba","SSP","en"
"São Tomé and Príncipe","São Tomé e Príncipe","239","Africa","São Tomé","STD","pt"
"El Salvador","El Salvador","503","North America","San Salvador","SVC,USD","es"
"Sint Maarten","Sint Maarten","1721","North America","Philipsburg","ANG","nl,en"
"Syria","سوريا","963","Asia","Damascus","SYP","ar"
"Swaziland","Swaziland","268","Africa","Lobamba","SZL","en,ss"
"Turks and Caicos Islands","Turks and Caicos Islands","1649","North America","Cockburn Town","USD","en"
"Chad","Tchad","235","Africa","N'Djamena","XAF","fr,ar"
"French Southern Territories","Territoire des Terres australes et antarctiques fr","","Antarctica","Port-aux-Français","EUR","fr"
"Togo","Togo","228","Africa","Lomé","XOF","fr"
"Thailand","ประเทศไทย","66","Asia","Bangkok","THB","th"
"Tajikistan","Тоҷикистон","992","Asia","Dushanbe","TJS","tg,ru"
"Tokelau","Tokelau","690","Oceania","Fakaofo","NZD","en"
"East Timor","Timor-Leste","670","Oceania","Dili","USD","pt"
"Turkmenistan","Türkmenistan","993","Asia","Ashgabat","TMT","tk,ru"
"Tunisia","تونس","216","Africa","Tunis","TND","ar"
"Tonga","Tonga","676","Oceania","Nuku'alofa","TOP","en,to"
"Turkey","Türkiye","90","Asia","Ankara","TRY","tr"
"Trinidad and Tobago","Trinidad and Tobago","1868","North America","Port of Spain","TTD","en"
"Tuvalu","Tuvalu","688","Oceania","Funafuti","AUD","en"
"Taiwan","臺灣","886","Asia","Taipei","TWD","zh"
"Tanzania","Tanzania","255","Africa","Dodoma","TZS","sw,en"
"Ukraine","Україна","380","Europe","Kiev","UAH","uk"
"Uganda","Uganda","256","Africa","Kampala","UGX","en,sw"
"U.S. Minor Outlying Islands","United States Minor Outlying Islands","","Oceania","","USD","en"
"United States","United States","1","North America","Washington D.C.","USD,USN,USS","en"
"Uruguay","Uruguay","598","South America","Montevideo","UYI,UYU","es"
"Uzbekistan","O‘zbekiston","998","Asia","Tashkent","UZS","uz,ru"
"Vatican City","Vaticano","39066,379","Europe","Vatican City","EUR","it,la"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","1784","North America","Kingstown","XCD","en"
"Venezuela","Venezuela","58","South America","Caracas","VEF","es"
"British Virgin Islands","British Virgin Islands","1284","North America","Road Town","USD","en"
"U.S. Virgin Islands","United States Virgin Islands","1340","North America","Charlotte Amalie","USD","en"
"Vietnam","Việt Nam","84","Asia","Hanoi","VND","vi"
"Vanuatu","Vanuatu","678","Oceania","Port Vila","VUV","bi,en,fr"
"Wallis and Futuna","Wallis et Futuna","681","Oceania","Mata-Utu","XPF","fr"
"Samoa","Samoa","685","Oceania","Apia","WST","sm,en"
"Kosovo","Republika e Kosovës","377,381,386","Europe","Pristina","EUR","sq,sr"
"Yemen","اليَمَن","967","Asia","Sana'a","YER","ar"
"Mayotte","Mayotte","262","Africa","Mamoudzou","EUR","fr"
"South Africa","South Africa","27","Africa","Pretoria","ZAR","af,en,nr,st,ss,tn,ts,ve,xh,zu"
"Zambia","Zambia","260","Africa","Lusaka","ZMK","en"
"Zimbabwe","Zimbabwe","263","Africa","Harare","ZWL","en,sn,nd"
